Id,STseg,TTseg,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,HTra,HSeg,Hcross,SynSimS,SynSimT,SynSim
1,1,1,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,零,2.55,1.49,0,1,1,1
2,2,2,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,2,1376443,228717,1314406,62017,20,1,62017,20,1,62017,20,1,62017,20,1,62017,20,1,1,0,0,0,0,0,0,0,0,12,11,12,11,0,0,0,0,5,27,3,9,0,---,阿桑特_大喊大叫_。,1.91,1.09,0,1,2.33,1.67
3,3,3,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,5,3607070,310379,3489305,116139,1626,24,112723,5042,15,108038,9727,9,100205,17560,4,90479,27286,1,10,0,0,0,0,0,0,0,0,50,76,50,76,0,0,0,0,15,73,16,26,0,---,地狱_是_个_回音_室_，_充斥_着_喊叫声_、_海水_和_金属_的_叮当声_。,1.51,1,0,1.53,1.38,1.45
4,4,4,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,9,664143,413298,537804,123668,2671,27,121694,4645,22,112506,13833,10,106732,19607,6,100140,26199,4,15,0,0,0,0,0,0,0,0,67,53,67,53,0,0,0,0,16,91,14,24,0,---,巨大_的_阴影_沿着_舱壁_移动_;_绿色_的_光网_在_上面_闪烁_。,2.08,1.3,0,2.56,3.14,2.85
5,5,5,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,7,837041,511096,207191,625710,4140,44,621534,8316,33,615732,14118,24,609109,20741,19,591775,38075,13,19,0,0,0,0,0,0,0,0,131,140,131,140,0,0,0,0,35,180,36,54,0,---,仿佛_是_明亮_泻湖_中_的_生物_，_萨_利特_人_从_月池_中冒出_并_开始_射击_；_在_黑雾_中_拉希_达_的_腹部_被_击中_，_她_的_上半身_倒_在_甲板_上_。,1.99,1.22,0,3.4,4.31,3.85
6,6,6,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,7,7050454,1573285,4631635,2398094,20725,184,2386727,32092,153,2350531,68288,101,2315858,102961,75,2204822,213997,40,58,0,0,0,0,0,0,0,0,360,372,360,372,0,0,0,0,55,325,60,92,0,---,基托_还_在_往_晒_鱼_架上_的_鱼枪_那边_挪动_，_好像_几个_老迈_的_渔夫_能_抵挡_住_这些_怪物_似的_，_可_他们_带_着_枪_、_充气_胎_，_它们_的_小_子弹_会_深埋_进_你_的_肉体_中_，_让_你_看到_释放出来_五百个_大气压_会_对_你_的_内脏_产生_什么_影响_。,2.58,1.5,0,4.11,2.28,3.2
7,7,7,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,3,122715,122715,78944,40607,3164,29,35053,8718,14,32547,11224,10,27205,16566,6,14364,29407,2,4,0,0,0,0,0,0,0,0,43,41,43,41,0,0,0,0,8,29,5,9,0,---,阿桑_特别_无_依仗_。,2.84,1.49,0,2.88,4,3.44
8,8,8,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,1,141692,141692,108757,31910,1025,14,29926,3009,9,26103,6832,4,26103,6832,4,15466,17469,1,2,0,0,0,0,0,0,0,0,18,17,18,17,0,0,0,0,8,27,6,11,0,---,他_只能靠_自己_的_拳头_。,2.58,1.55,0,1.75,2.83,2.29
9,9,9,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,5,1384379,211422,1369642,14171,566,8,13532,1205,6,11612,3125,3,10424,4313,2,6368,8369,1,6,0,0,0,0,0,0,0,0,15,83,15,83,0,0,0,0,4,14,5,6,0,---,他_就_用_了_。,2,1.48,0,2.5,1.8,2.15
10,10,10,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,3,607556,374115,6162,599137,2257,34,596991,4403,28,590600,10794,19,589557,11837,18,573851,27543,14,18,0,0,0,0,0,0,0,0,113,72,113,72,0,0,0,0,27,140,26,42,0,---,他_自己_冲向_已经_看到_基托_的_那个_最近_的_萨_利特_人_，_随着_甲板_的_呻吟_和_倾斜_，_船_剧烈地_摇摆_着_。,2.76,1.7,0,5.11,4.12,4.61
11,11,11,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,2,1892673,18456,1881515,10650,508,3,10650,508,3,10033,1125,2,8480,2678,1,8480,2678,1,4,0,0,0,0,0,0,0,0,6,30,6,30,0,0,0,0,14,73,14,22,0,---,海水_冲破_了_月亮_池_的_边缘_，_瀑布_般_漫过_了_水面_。,2.12,1.38,0,2.64,2.36,2.5
12,12,12,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,4,787416,354801,601704,184655,1057,12,184268,1444,11,180304,5408,6,176719,8993,4,176719,8993,4,4,0,0,0,0,0,0,0,0,24,30,24,30,0,0,0,0,10,47,7,16,0,---,阿桑特_跌倒_时向_入侵者_猛扑_过去_。,2.32,1.54,0,3,5,4
13,13,13,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,2,117556,117556,5993,109547,2016,4,109159,2404,3,108615,2948,2,108615,2948,2,106005,5558,1,1,0,0,0,0,0,0,0,0,18,16,18,16,0,0,0,0,5,20,5,6,0,---,她_射_偏_了_。,2.15,1.32,0,2,2,2
14,14,14,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,1,2845355,563818,117506,2719563,8286,70,2712639,15210,52,2692830,35019,25,2685797,42052,20,2657128,70721,11,9,0,0,0,0,0,0,0,0,110,113,110,113,0,0,0,0,29,142,22,38,0,---,一个_蜘蛛网_罩住_了_观察_孔_；_正巧在_玻璃_边缘_相接_的_地方_，_从_它_的_中央_一滴水_爆_开来_。,2.58,1.44,0,4.93,6.86,5.9
15,15,15,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,1,282580,282580,4111,273721,4748,29,270300,8169,20,265045,13424,12,265045,13424,12,254211,24258,9,6,0,0,0,0,0,0,0,0,51,73,51,73,0,0,0,0,21,107,17,28,0,---,阿桑特_咽气_前_最后_看到_的_是_萨_利特_人_潜水服_上_的_沙漠_锤_标志_。,2.16,1.42,0,5.19,7.65,6.42
1,1,38,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,1,215937,4179,211758,4179,0,1,4179,0,1,4179,0,1,4179,0,1,0,4179,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,18,2,4,0,---,重复_过去,1.96,0,0,1,1.5,1.25
2,2,39,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,2,361652,42800,354644,7008,0,2,7008,0,2,7008,0,2,7008,0,2,0,7008,0,1,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,6,28,4,7,0,---,家史_的_一课_。,2.18,0.51,0,2,3.75,2.88
3,3,40,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,1,21356,21356,21139,0,217,0,0,217,0,0,217,0,0,217,0,0,217,0,1,0,0,0,0,0,0,0,0,0,218,0,218,0,0,0,0,11,53,12,20,0,---,你_对_你_叔叔_坟墓_的_所作所为_是_不可_原谅_的_。,0.87,0.48,0,3.45,2.92,3.19
4,4,41,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,3,1249316,1249316,144068,1084100,21148,152,1072607,32641,122,1036569,68679,69,1016362,88886,53,954179,151069,36,76,0,0,0,0,0,0,0,0,469,250,469,250,0,0,0,0,131,629,137,219,0,---,你_母亲_一如既往_地_自责_。_她_说_，_你_不_知道_自己_在_做_什么_。_当_你_把_我_给_你_的_shofar_换成_eMotiv_耳机_的_时候_，_或许_，_甚至_当_你_和_那些_剃_了_光头_、_满嘴_污言秽语_的_年轻_恶棍_成为_朋友_的_时候_我_都_还_能_接受_。_但_我_永远_也_不会_原谅_你_在_游戏_用_Ipod_上面_画_的_纳粹党_徽_，_你_只是_我_女儿_的_儿子_，_不是_我_儿子_。_也许_这_只是_青春期_的_叛逆_。_可_你_怎么_会_懂_？_在_2017_年_，_这里_的_孩子_怎么_可能_真正_会_懂_？_在_历史_书_和_粗糙_的_老照片_中_，_种族灭绝_是_一件_多么_可怕_的_事情_。_你_没有_身临其境_，_你_永远_不会_懂_。,1.56,0.77,0,4.74,3.81,4.28
